,Activity Type,Value
2025 Jul,Running,13
2025 Jul,Cycling,11
2025 Jul,Swimming,11
2025 Jul,Walking,2
2025 Aug,Running,13
2025 Aug,Cycling,14
2025 Aug,Gym & Fitness Equipment,1
2025 Aug,Swimming,10
2025 Sep,Running,7
2025 Sep,Cycling,11
2025 Sep,Swimming,5
2025 Sep,Walking,1
2025 Oct,Running,7
2025 Oct,Cycling,8
2025 Oct,Gym & Fitness Equipment,2
2025 Nov,Running,13
2025 Nov,Cycling,3
2025 Nov,Gym & Fitness Equipment,2
2025 Nov,Swimming,2
2025 Nov,Walking,7
2025 Dec,Running,6
2025 Dec,Cycling,6
2025 Dec,Gym & Fitness Equipment,6
2025 Dec,Walking,2
2026 Jan,Running,6
2026 Jan,Cycling,3
2026 Feb,Running,10
2026 Feb,Cycling,3
2026 Feb,Walking,2
2026 Mar,Running,12
2026 Mar,Cycling,7
2026 Mar,Walking,1
2026 Apr,Running,12
2026 Apr,Cycling,13
2026 Apr,Swimming,4
2026 Apr,Walking,6
2026 May,Running,13
2026 May,Cycling,7
2026 May,Swimming,6
2026 May,Walking,2
2026 Jun,Running,1
2026 Jun,Cycling,1
2026 Jun,Swimming,1