Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
May 27 - Jun 2,78,Fair,7h 13min,8h 20min,0:41,8:37
May 20-26,66,Fair,6h 40min,8h 27min,0:32,7:55
May 13-19,55,Poor,6h 19min,8h 44min,0:03,7:35
May 6-12,56,Poor,5h 53min,8h 57min,0:45,8:00
Apr 29 - May 5,66,Fair,6h 19min,8h 49min,0:33,7:49
Apr 22-28,71,Fair,6h 54min,8h 30min,0:56,8:37
Apr 15-21,64,Fair,6h 27min,8h 53min,23:55,7:29
Apr 8-14,66,Fair,6h 18min,8h 54min,0:42,8:12
Apr 1-7,61,Fair,6h 52min,8h 39min,0:17,8:28
Mar 25-31,66,Fair,6h 51min,8h 27min,0:26,8:34
Mar 18-24,63,Fair,5h 59min,9h 0min,0:43,7:46
Mar 11-17,55,Poor,5h 41min,8h 51min,0:33,7:33
Mar 4-10,69,Fair,6h 3min,8h 57min,0:50,7:41
Feb 25 - Mar 3,66,Fair,6h 8min,8h 40min,2:09,9:20
Feb 18-24,67,Fair,5h 55min,8h 44min,2:12,8:45
Feb 11-17,60,Fair,5h 59min,8h 54min,1:38,8:34
Feb 4-10,58,Poor,5h 5min,9h 0min,3:35,9:09
Jan 28 - Feb 3,64,Fair,5h 50min,8h 11min,3:02,9:43
Jan 21-27,65,Fair,5h 43min,8h 40min,3:26,10:04
Jan 14-20,70,Fair,5h 42min,8h 23min,3:54,10:12
Jan 7-13,61,Fair,5h 29min,8h 40min,3:09,9:24
2025 Dec 31 - 2026 Jan 6,54,Poor,5h 11min,8h 49min,2:26,8:40
2025 Dec 24-30,62,Fair,5h 39min,8h 40min,2:10,9:29
2025 Dec 17-23,63,Fair,5h 44min,8h 49min,1:56,8:46
2025 Dec 10-16,65,Fair,6h 12min,8h 53min,1:07,9:17
2025 Dec 3-9,57,Poor,5h 14min,8h 44min,0:51,7:51
2025 Nov 26 - Dec 2,61,Fair,5h 52min,8h 17min,23:26,7:07
2025 Nov 19-25,48,Poor,3h 42min,8h 13min,1:47,6:23
2025 Nov 12-18,74,Fair,6h 53min,8h 0min,22:55,6:11
2025 Nov 5-11,77,Fair,7h 45min,7h 43min,23:08,7:32
2025 Oct 29 - Nov 4,82,Good,7h 42min,8h 0min,22:54,6:51
2025 Oct 22-28,82,Good,7h 32min,7h 23min,23:08,6:47
2025 Oct 15-21,78,Fair,7h 20min,8h 16min,23:42,7:11
2025 Oct 8-14,66,Fair,7h 22min,8h 21min,23:35,7:26
2025 Oct 1-7,78,Fair,7h 14min,8h 0min,23:42,7:08
2025 Sep 24-30,87,Good,8h 3min,7h 33min,23:15,7:23
2025 Sep 17-23,83,Good,7h 54min,7h 39min,23:14,7:24
2025 Sep 10-16,78,Fair,7h 22min,8h 6min,23:41,7:22
2025 Sep 3-9,82,Good,7h 38min,8h 7min,23:03,7:00
2025 Aug 27 - Sep 2,80,Good,7h 7min,8h 6min,23:33,6:48
2025 Aug 20-26,87,Good,7h 48min,8h 1min,23:49,7:41
2025 Aug 13-19,78,Fair,7h 57min,7h 58min,23:11,7:26
2025 Aug 6-12,80,Good,6h 43min,8h 8min,1:15,8:11
2025 Jul 30 - Aug 5,83,Good,6h 58min,8h 16min,23:59,7:00
2025 Jul 23-29,82,Good,7h 24min,7h 54min,23:25,7:10
2025 Jul 16-22,89,Good,7h 38min,7h 40min,23:43,7:31
2025 Jul 9-15,76,Fair,6h 44min,8h 0min,0:04,7:01
2025 Jul 2-8,80,Good,6h 47min,8h 18min,1:05,8:03
2025 Jun 25 - Jul 1,70,Fair,6h 5min,8h 26min,0:07,6:24
2025 Jun 18-24,86,Good,7h 11min,7h 43min,23:42,7:00
2025 Jun 11-17,80,Good,7h 2min,7h 50min,23:05,6:15
2025 Jun 4-10,81,Good,7h 1min,7h 57min,23:56,7:09