Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Multisport,2026-06-07 09:39:46,false,"Ryzon Bonn Triathlon 2026","83,63","2.563","04:27:50","--","179","5,0","--","--","18,7","--","922","857","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--:--:--","04:27:50","-7","292"
Walking,2026-06-06 16:09:45,false,"Bonn Walking","8,48","548","02:03:07","90","141","0,7","86","154","14:31","3:40","73","68","0,83","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","11.592","-6","--","No","00:10:49","9","--","--","--","--","01:37:30","03:54:23","43","69"
Running,2026-06-06 09:10:29,false,"Diemen Running","6,01","394","00:31:45","147","179","3,2","167","181","5:17","3:38","16","11","1,13","8,4","9,5","264","--","5:18","--","--","320","0,0","--","315","451","--","--","--","5.278","-7","--","No","00:00:03,6","7","--","--","--","--","00:31:43","00:31:45","-6","6"
Cycling,2026-06-05 12:07:54,false,"Diemen Cycling","9,60","292","00:37:34","119","146","2,0","--","--","15,3","25,2","38","35","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","-6","--","No","00:16:59","2","--","--","--","--","00:32:37","00:37:34","-5","8"
Running,2026-06-04 18:08:10,false,"Diemen Running","5,23","343","00:27:41","147","173","3,1","167","176","5:18","3:48","24","29","1,13","8,4","9,5","264","--","5:18","--","--","315","0,0","--","312","489","--","--","--","4.614","-5","--","No","00:01:12,5","6","--","--","--","--","00:27:39","00:27:41","-3","7"
Virtual Cycling,2026-06-04 13:06:41,false,"Zwift - Terrain Toner","13,73","194","00:30:09","115","136","1,7","--","--","27,3","48,3","79","--","--","--","--","--","--","--","81","127","118","0,0","122","112","284","--","--","--","--","--","--","No","00:02:00","11","--","--","--","--","00:30:04","00:30:08","2","38"
Virtual Cycling,2026-06-03 21:28:28,false,"Zwift - Pre-Race","15,18","226","00:40:58","106","137","1,6","--","--","22,2","60,2","173","--","--","--","--","--","--","--","74","162","109","0,0","113","96","271","--","--","--","--","--","--","No","00:00:57","19","--","--","--","--","00:40:53","00:40:57","1","40"
Open Water Swimming,2026-06-03 11:23:32,false,"Diemen Open Water Swimming","790","193","00:16:48","143","158","2,4","--","--","2:08","1:39","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","406","45","23","--","-3","21,0","No","00:03:49,6","4","29,0","--","--","--","00:16:46","00:16:48","--","--"
Running,2026-06-02 13:33:36,false,"Diemen Running","5,02","336","00:27:17","150","160","3,0","167","177","5:26","4:18","12","8","1,10","8,6","9,7","280","49,7% L / 50,3% R","5:28","--","--","318","0,0","--","317","445","--","--","--","4.522","--","--","-6","--","No","00:00:05,0","6","--","37","24","43","00:27:13","00:28:25","-2","5"
Road Cycling,2026-06-01 20:49:36,false,"Diemen Road Cycling","22,77","436","00:52:52","117","137","2,2","--","--","25,8","35,8","50","50","--","--","--","--","--","--","82","110","122","29,3","123","115","511","4285","--","--","--","--","--","--","18,0","No","00:06:55,0","5","25,0","27","17","33","00:52:48","00:53:06","-3","9"
Open Water Swimming,2026-06-01 12:51:04,false,"Diemen Open Water Swimming","716","153","00:18:57","121","141","1,2","--","--","2:39","1:36","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","429","55","22","--","--","--","-3","23,0","No","00:02:55,9","4","27,0","--","--","--","00:18:46","00:18:57","--","--"
Running,2026-05-31 11:22:51,false,"Diemen Running","7,21","492","00:35:19","168","183","4,2","167","220","4:54","3:26","19","19","1,25","7,6","9,4","267","50,1% L / 49,9% R","4:46","--","--","359","0,0","--","349","531","--","--","--","5.818","--","--","-11","--","No","00:01:00,6","8","--","40","17","48","00:35:10","00:35:38","-3","5"
Open Water Swimming,2026-05-30 17:48:57,false,"Diemen Open Water Swimming","2.516","573","01:10:29","131","149","2,3","--","--","2:48","1:42","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1546","57","22","--","--","--","-10","23,0","No","00:00:50,9","6","31,0","--","--","--","01:08:54","01:12:20","--","--"
Running,2026-05-29 12:55:18,false,"Diemen Running","10,02","681","00:53:34","159","177","3,9","165","177","5:21","4:27","24","27","1,13","8,3","9,6","282","50,2% L / 49,8% R","5:22","--","--","315","0,0","--","314","401","--","--","--","8.812","--","--","-10","--","No","00:00:06,5","11","--","39","27","50","00:53:32","00:53:34","-5","4"
Road Cycling,2026-05-28 19:16:40,false,"Diemen Road Cycling","51,12","1.039","01:45:35","137","158","3,3","--","--","29,1","41,6","66","70","--","--","--","--","--","--","84","119","150","89,4","153","142","519","8837","--","--","--","--","--","--","20,0","No","00:02:20,0","11","25,0","32","20","40","01:45:29","01:45:53","-3","10"
Running,2026-05-27 18:50:36,false,"Diemen Running","12,03","776","00:58:40","160","177","4,4","168","180","4:53","3:43","32","30","1,22","7,5","9,3","277","50,1% L / 49,9% R","4:53","--","--","350","0,0","--","344","503","--","--","--","9.790","--","--","-11","--","No","00:00:08,0","13","--","39","23","53","00:58:37","00:58:40","-4","8"
Open Water Swimming,2026-05-26 18:31:22,false,"Diemen Open Water Swimming","1.827","431","00:52:54","130","153","2,2","--","--","2:54","1:36","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1188","60","22","--","--","--","-6","25,0","No","00:11:03","4","32,0","--","--","--","00:52:16","00:53:48","--","--"
Open Water Swimming,2026-05-25 16:49:52,false,"Diemen Open Water Swimming","1.701","357","00:46:10","125","143","2,0","--","--","2:43","1:38","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1065","56","23","--","--","--","-6","24,0","No","00:05:26,2","4","33,0","--","--","--","00:45:11","00:54:52","--","--"
Road Cycling,2026-05-24 08:45:41,false,"Diemen Road Cycling","51,07","1.123","01:46:35","141","159","3,7","--","--","28,8","39,3","96","100","--","--","--","--","--","--","89","129","162","105,2","168","153","617","9404","--","--","--","--","--","--","18,0","No","00:02:26,8","11","27,0","33","15","42","01:46:30","01:46:44","-3","11"
Running,2026-05-23 19:46:17,false,"Diemen Running","5,02","360","00:32:40","149","176","2,9","128","180","6:31","4:02","43","29","1,16","8,2","9,3","261","--","6:32","--","--","289","0,0","--","237","432","--","--","--","3.182","--","--","-5","--","No","00:00:06,3","6","--","--","--","--","00:26:21","00:39:47","-5","14"
Running,2026-05-23 15:49:52,false,"Diemen Running","10,01","702","00:56:15","158","171","3,7","165","171","5:37","4:52","28","31","1,08","8,7","9,6","281","49,3% L / 50,7% R","5:37","--","--","306","0,0","--","304","404","--","--","--","9.200","--","--","-10","--","No","00:00:03,5","11","--","37","23","44","00:56:12","00:56:15","-6","4"
Pool Swim,2026-05-22 13:42:50,false,"Pool Swim","3.350","547","01:14:07","118","145","1,9","--","--","2:07","0:28","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1599","87","23","--","--","--","--","--","No","01:14:07","1","--","--","--","--","01:10:55","01:14:53","--","--"
Cycling,2026-05-21 15:06:58,false,"Diemen Cycling","12,59","327","00:46:30","115","140","1,0","--","--","16,2","28,7","66","48","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","-8","--","No","00:10:19","3","--","--","--","--","00:42:43","02:52:06","-5","16"
Running,2026-05-21 10:06:52,false,"Diemen Running","15,03","984","01:12:57","164","180","5,0","170","180","4:51","3:59","34","35","1,21","7,6","9,4","270","50,3% L / 49,7% R","4:52","--","--","351","0,0","--","346","459","--","--","--","12.352","--","--","-21","--","No","00:00:08,0","16","--","40","19","53","01:12:54","01:12:57","-5","5"
Pool Swim,2026-05-18 13:11:26,false,"Pool Swim","2.750","559","01:10:03","128","145","2,3","--","--","2:29","2:03","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1445","50","21","--","--","--","--","--","No","00:06:14,5","2","--","--","--","--","01:08:05","01:11:24","--","--"
Running,2026-05-17 11:44:49,false,"Amsterdam Running","6,93","439","00:34:53","157","181","3,5","168","182","5:02","3:37","20","25","1,18","8,0","9,7","274","50,4% L / 49,6% R","5:02","--","--","348","0,0","--","342","494","--","--","--","5.824","--","--","-8","--","No","00:03:54,1","7","--","38","32","46","00:34:51","00:34:53","-4","7"
Running,2026-05-16 16:43:53,false,"Diemen Running","13,01","857","01:07:29","158","169","4,2","167","175","5:11","4:19","30","29","1,15","7,8","9,3","283","49,4% L / 50,6% R","5:12","--","--","326","0,0","--","323","433","--","--","--","11.240","--","--","-12","--","No","00:00:04,0","14","--","37","28","44","01:07:26","01:07:29","-7","9"
Road Cycling,2026-05-15 09:51:35,false,"Diemen Road Cycling","42,62","896","01:34:50","142","161","3,3","--","--","27,0","37,6","99","102","--","--","--","--","--","--","85","158","145","74,9","156","135","575","7927","--","--","--","--","--","--","7,0","No","00:06:12,2","9","14,0","32","16","40","01:34:40","01:37:03","-4","12"
Running,2026-05-14 17:56:43,false,"Diemen Running - RIP pinheirinho","10,01","671","00:50:39","165","179","4,3","166","179","5:04","4:27","25","23","1,19","7,8","9,5","273","51,5% L / 48,5% R","5:04","--","--","330","0,0","--","328","436","--","--","--","8.376","--","--","-10","--","No","00:00:04,1","11","--","39","27","46","00:50:35","00:52:04","-3","6"
Walking,2026-05-13 19:27:46,false,"Diemen Walking","1,35","87","00:18:10","100","148","0,3","95","128","13:30","9:01","1","8","0,79","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","1.824","--","--","--","--","No","00:06:24,8","2","--","26","21","35","00:15:11","00:18:10","-2","5"
Running,2026-05-13 18:10:02,false,"Diemen Running","15,02","990","01:15:58","159","180","4,6","168","176","5:03","3:28","31","23","1,18","7,9","9,5","277","50,7% L / 49,3% R","5:04","--","--","336","0,0","--","334","540","--","--","--","12.652","--","--","-13","--","No","00:00:05,4","16","--","39","20","46","01:15:55","01:15:58","-3","7"
Walking,2026-05-09 16:37:25,false,"Diemen Walking","7,46","476","02:10:35","80","114","0,4","24","171","17:29","2:27","38","27","5,95","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","6.594","--","--","-9","--","No","00:06:53,9","8","--","--","--","--","01:39:05","03:40:28","-6","8"
Running,2026-05-09 13:07:36,false,"Diemen Running","15,02","998","01:14:42","164","174","5,0","167","179","4:58","3:25","49","44","1,20","7,8","9,7","272","51,3% L / 48,7% R","4:59","--","--","339","0,0","--","337","545","--","--","--","12.418","--","--","-16","--","No","00:00:05,4","16","--","40","21","47","01:14:39","01:14:42","-6","6"
Road Cycling,2026-05-08 15:51:01,false,"Diemen Road Cycling","41,36","917","01:28:08","141","155","3,4","--","--","28,2","38,4","71","72","--","--","--","--","--","--","88","131","158","83,1","162","151","502","7646","--","--","--","--","--","--","16,0","No","00:03:01,8","9","20,0","33","18","41","01:28:03","01:29:18","-3","10"
Pool Swim,2026-05-07 20:41:59,false,"Pool Swim","2.050","445","00:48:27","137","157","2,8","--","--","2:12","0:54","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1005","45","22","--","--","--","--","--","No","00:48:27","1","--","--","--","--","00:44:57","00:49:01","--","--"
Running,2026-05-07 12:09:15,false,"Diemen Running","10,21","674","00:51:24","160","172","4,1","167","177","5:02","4:12","20","22","1,19","7,7","9,4","278","50,4% L / 49,6% R","5:03","--","--","330","0,0","--","329","412","--","--","--","8.552","--","--","-12","--","No","00:00:58,5","11","--","38","16","45","00:51:22","00:51:24","-4","4"
Road Cycling,2026-05-06 10:30:49,false,"Diemen Road Cycling","50,73","1.154","01:46:47","152","165","4,0","--","--","28,5","39,2","108","110","--","--","--","--","--","--","90","132","164","108,1","170","158","653","9528","--","--","--","--","--","--","14,0","No","00:01:36,9","11","16,0","35","15","44","01:46:36","01:48:35","-5","11"
Running,2026-05-03 08:31:21,false,"Stramilano 2026 - w/ Maurice and Ingmar O/","21,32","1.402","01:36:52","174","186","5,0","170","196","4:33","3:45","43","38","1,29","7,7","9,9","246","--","4:33","--","--","360","0,0","--","359","464","--","--","--","16.462","--","--","-30","--","No","00:01:16,5","22","--","--","--","--","01:36:47","01:36:52","118","136"
Road Cycling,2026-05-01 15:18:46,false,"Diemen Road Cycling","41,07","862","01:33:54","135","155","3,1","--","--","26,2","36,6","86","85","--","--","--","--","--","--","85","125","139","68,6","150","130","559","7843","--","--","--","--","--","--","24,0","No","00:02:41,2","9","31,0","30","16","43","01:33:44","01:41:51","-4","9"
Pool Swim,2026-04-30 21:01:07,false,"Pool Swim","2.100","452","00:46:02","136","177","2,5","--","--","2:12","0:50","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1005","45","22","--","--","--","--","--","No","00:46:02","1","--","--","--","--","00:46:02","00:47:56","--","--"
Running,2026-04-29 20:19:11,false,"Diemen Running","10,07","657","00:49:22","161","173","4,2","167","185","4:54","3:12","31","27","1,22","7,4","9,3","282","50,7% L / 49,3% R","4:55","--","--","354","0,0","--","350","537","--","--","--","8.204","--","--","-8","--","No","00:00:24,1","11","--","39","33","48","00:49:20","00:49:22","-5","6"
Road Cycling,2026-04-29 12:28:04,false,"Diemen Road Cycling","42,10","1.007","01:28:33","156","165","3,8","--","--","28,5","42,2","95","97","--","--","--","--","--","--","84","125","175","114,2","175","167","649","7342","--","--","--","--","--","--","19,0","No","00:04:05,2","9","22,0","35","25","41","01:28:24","01:29:05","-4","10"
Road Cycling,2026-04-27 16:18:08,false,"Diemen Road Cycling","47,45","1.075","01:43:41","145","173","3,5","--","--","27,5","41,2","73","76","--","--","--","--","--","--","81","99","162","115,3","169","150","534","8245","--","--","--","--","--","--","13,0","No","00:05:31,0","10","20,0","32","19","43","01:43:35","01:45:10","-3","10"
Walking,2026-04-26 16:11:30,false,"Diemen Walking","2,85","172","00:42:22","79","113","0,3","37","139","14:52","5:55","21","26","2,05","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.190","--","--","-11","--","No","00:12:30","3","--","--","--","--","00:34:32","03:41:35","-7","14"
Pool Swim,2026-04-26 12:01:32,false,"Pool Swim","2.150","451","00:50:02","132","163","2,5","--","--","2:18","0:58","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","1102","47","22","--","--","--","--","--","No","00:50:02","1","--","--","--","--","00:49:31","00:50:57","--","--"
Walking,2026-04-24 18:26:00,false,"Diemen Walking","7,19","363","01:40:12","65","88","0,3","23","165","13:56","2:36","23","18","6,28","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","8.062","--","--","-3","--","No","00:02:55,6","8","--","--","--","--","01:33:02","01:40:12","-4","8"
Running,2026-04-24 15:08:02,false,"Diemen Running 💊🚚","10,04","665","00:49:15","160","176","3,9","168","178","4:54","4:02","39","19","1,22","7,5","9,4","281","50,0% L / 50,0% R","4:54","--","--","356","0,0","--","355","459","--","--","--","8.198","--","--","-8","--","No","00:00:10,9","11","--","38","17","46","00:49:12","00:56:02","-8","12"
Road Cycling,2026-04-24 10:11:54,false,"Amsterdam Road Cycling","41,32","832","01:46:33","--","--","2,0","--","--","23,3","37,2","101","106","--","--","--","--","--","--","74","103","128","73,8","153","107","444","7582","--","--","--","--","--","--","11,0","No","00:02:54,7","9","16,0","--","--","--","01:46:17","01:51:59","-4","10"
Running,2026-04-23 12:29:26,false,"Diemen Running","3,04","198","00:15:00","159","169","2,8","169","185","4:56","3:30","12","6","1,20","7,9","9,7","265","50,2% L / 49,8% R","4:56","--","--","348","0,0","--","346","536","--","--","--","2.526","--","--","-4","--","No","00:00:12,5","4","--","37","19","43","00:14:59","00:15:00","-5","3"
Pool Swim,2026-04-23 11:28:28,false,"Pool Swim","1.325","309","00:30:33","139","159","2,7","--","--","2:13","1:59","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","638","45","22","--","--","--","--","--","No","00:30:33","1","--","--","--","--","00:29:17","00:32:06","--","--"
Road Cycling,2026-04-21 11:39:37,false,"Diemen Road Cycling","41,03","998","01:26:17","150","163","4,0","--","--","28,5","50,0","86","85","--","--","--","--","--","--","83","114","177","114,8","185","170","604","7103","--","--","--","--","--","--","13,0","No","00:02:00,4","9","21,0","34","15","42","01:26:08","01:37:48","-4","10"
Running,2026-04-19 12:24:44,false,"Amsterdam Running","1,13","75","00:05:44,6","160","179","2,0","133","238","5:06","3:53","8","4","1,23","11,6","14,4","253","58,0% L / 42,0% R","5:02","--","--","333","0,0","--","321","893","--","--","--","694","--","--","--","--","No","00:00:42,1","2","--","20","20","20","00:05:43,4","00:05:44,6","-4","3"
Running,2026-04-19 10:31:21,false,"Amsterdam Running","15,11","943","01:08:11","167","186","5,0","171","211","4:31","2:37","61","58","1,29","7,2","9,5","260","49,4% L / 50,6% R","4:31","--","--","374","0,0","--","372","657","--","--","--","11.608","--","--","-17","--","No","00:00:18,3","16","--","40","23","49","01:08:09","01:08:11","-8","12"
Walking,2026-04-18 18:04:41,false,"Diemen Walking","3,84","240","01:13:36","72","111","0,2","9","167","19:11","6:59","13","9","7,22","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.186","--","--","-4","--","No","00:15:32","4","--","--","--","--","00:54:47","01:20:22","-3","6"
Running,2026-04-18 16:02:19,false,"Diemen Running","7,12","482","00:37:38","159","169","3,7","167","175","5:17","4:38","20","14","1,13","8,0","9,3","283","50,1% L / 49,9% R","5:16","--","--","326","0,0","--","324","420","--","--","--","6.248","--","--","-8","--","No","00:00:36,5","8","--","37","20","44","00:37:35","00:37:38","-6","6"
Walking,2026-04-16 22:04:47,false,"Reims Walking","2,38","134","00:28:46","89","100","0,4","106","126","12:05","7:25","1","25","0,78","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.174","--","--","-1","--","No","00:04:40,0","3","--","--","--","--","00:28:00","00:28:46","82","108"
Running,2026-04-16 16:10:52,false,"Reims Running","13,05","871","01:04:30","167","178","5,0","166","237","4:57","4:20","27","25","1,22","7,9","9,8","268","51,0% L / 49,0% R","4:57","--","--","339","0,0","--","338","549","--","--","--","10.652","--","--","-13","--","No","00:00:15,4","14","--","39","20","46","01:04:27","01:04:30","78","90"
Running,2026-04-13 18:45:42,false,"Diemen Running","10,09","663","00:52:29","157","171","4,0","166","179","5:12","4:16","29","23","1,16","7,9","9,4","285","49,7% L / 50,3% R","5:13","--","--","318","0,0","--","317","415","--","--","--","8.650","--","--","-10","--","No","00:00:25,9","11","--","38","29","44","00:52:26","00:52:53","-9","4"
Walking,2026-04-12 17:55:05,false,"Diemen Walking","3,53","202","01:02:02","69","100","0,3","17","188","17:35","3:53","6","10","3,69","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.134","--","--","-4","--","No","00:09:01,5","4","--","--","--","--","00:48:51","01:25:53","-2","4"
Road Cycling,2026-04-11 14:03:41,false,"Diemen Road Cycling","80,66","1.832","02:55:28","144","166","4,4","--","--","27,6","41,1","178","326","--","--","--","--","--","--","84","137","160","189,4","168","151","638","14637","--","--","--","--","--","--","16,0","No","00:01:46,2","17","22,0","32","18","45","02:55:07","03:02:08","-5","142"
Pool Swim,2026-04-11 10:33:35,false,"Pool Swim","1.550","326","00:37:14","138","161","2,9","--","--","2:15","1:41","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","773","46","22","--","--","--","--","--","No","00:37:14","1","--","--","--","--","00:34:58","00:38:13","--","--"
Cycling,2026-04-10 09:44:55,false,"Diemen Cycling","6,75","171","00:49:41","83","118","0,3","--","--","8,1","24,9","20","17","--","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","--","--","--","-6","--","No","00:16:37","2","--","--","--","--","00:33:34","01:56:00","-7","12"
